вид спорта,процент вилки,время жизни вилки,название противоположной бк,команда 1,команда 2,вид ставки,коэффициент на Bet365,количество инициаторов у Bet365,коэффициент противоположной БК,количество инициаторов противоположной БК,кто является инициатором
Киберфутбол,0.93,3 сек,Betcity,Bayer 04 (fleshka77) Esports,B.M'gladbach (skripp) Esports,2,41,1,1.354,4,Betcity
Киберфутбол,0.18,1 сек,Betcity,Hoffenheim (skripp) Esports,Leicester (SpursMax) Esports,Тб(6.5),2.6252,2,1.625,5,Betcity
Киберфутбол,0.61,0 сек,1xbet,Hoffenheim (skripp) Esports,Leicester (SpursMax) Esports,Тм(5.5),2.254,4,1.827,7,1xbet
Киберфутбол,0,2 сек,Betcity,Villarreal (Indenfor) Esports,Hoffenheim (skripp) Esports,Команда2 Тб(2.5),21,1,22,2,0
Киберфутбол,3.61,1 сек,Betcity,Real Sociedad (AlBack) Esports,Roma (Yoshi) Esports,Тб(3.5),23,3,2.155,5,0
Киберфутбол,0.49,0 сек,Betcity,Real Sociedad (AlBack) Esports,Roma (Yoshi) Esports,Команда1 Тб(1.5),2.21,1,1.852,2,0
Киберфутбол,2.16,1 сек,Betcity,Villarreal (Indenfor) Esports,Hoffenheim (skripp) Esports,Команда1 Тб(1.5),3.251,1,1.492,2,0
Киберфутбол,5.88,1 мин 21 сек,Betcity,Villarreal (Indenfor) Esports,Hoffenheim (skripp) Esports,Тб(2.5),24,4,2.257,7,Betcity
Киберфутбол,0,2 сек,Betcity,Villarreal (Indenfor) Esports,Hoffenheim (skripp) Esports,2,21,1,26,6,Betcity
Киберфутбол,33.33,1 сек,Unibet,Villarreal (Indenfor) Esports,Hoffenheim (skripp) Esports,X2,22,2,410,10,Unibet
Киберфутбол,0,2 сек,Unibet,Real Sociedad (AlBack) Esports,Roma (Yoshi) Esports,Тм(4.5),21,1,29,9,Unibet
Киберфутбол,65.78,1 сек,Unibet,Villarreal (Indenfor) Esports,Hoffenheim (skripp) Esports,1,51,1,2.489,9,Unibet
Киберфутбол,0.84,2 сек,Betcity,Roma (Yoshi) Esports,Hoffenheim (skripp) Esports,Команда1 Тб(2.5),2.51,1,1.692,2,0
Киберфутбол,1.95,1 сек,Betcity,Real Sociedad (AlBack) Esports,Leicester (SpursMax) Esports,Тб(4.5),2.21,1,1.92,2,0
Киберфутбол,2.44,31 сек,Betcity,Real Sociedad (AlBack) Esports,Leicester (SpursMax) Esports,Команда1 Тб(2.5),2.11,1,23,0,0
Киберфутбол,5.88,44 сек,Betcity,Real Sociedad (AlBack) Esports,Leicester (SpursMax) Esports,Тб(3.5),23,3,2.2511,11,Betcity
Киберфутбол,1.96,2 сек,1xbet,Roma (Yoshi) Esports,Hoffenheim (skripp) Esports,Тб(3.5),22,2,2.086,6,1xbet
Киберфутбол,0.99,11 сек,Unibet,Real Sociedad (AlBack) Esports,Leicester (SpursMax) Esports,Тм(2.5),21,1,2.046,6,Unibet
Киберфутбол,1.95,2 сек,Betcity,Roma (Yoshi) Esports,Hoffenheim (skripp) Esports,Тб(2.5),2.21,1,1.98,8,Betcity
Киберфутбол,1.16,3 сек,Unibet,Real Sociedad (AlBack) Esports,Leicester (SpursMax) Esports,Гола не будет(3),3.41,1,1.448,8,Unibet
Киберфутбол,0,3 сек,Betcity,Roma (Yoshi) Esports,Hoffenheim (skripp) Esports,1,111,1,1.18,8,Betcity
Киберфутбол,1.37,6 сек,Unibet,Real Sociedad (AlBack) Esports,Hoffenheim (skripp) Esports,Тм(4.5),2.21,1,1.887,7,Unibet
Киберфутбол,0.49,4 сек,1xbet,Leicester (SpursMax) Esports,Villarreal (Indenfor) Esports,Команда1 Тб(1.5),2.23,3,1.852,2,0
Киберфутбол,8.74,42 сек,Betcity,Leicester (SpursMax) Esports,Villarreal (Indenfor) Esports,Тб(4.5),2.22,2,2.1512,12,Betcity
Киберфутбол,1.11,1 сек,Betcity,Leicester (SpursMax) Esports,Villarreal (Indenfor) Esports,Тб(3.5),2.11,1,1.954,4,Betcity
